                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.60626,                0.74626,                0.94191,                0.61216,                0.58055,                0.47445,                0.23383,                 1.8431,                 2.8936,                 1.7404,             4.5662e-05,             4.5662e-05,             4.5662e-05
                     87,                0.60011,                0.72526,                0.94168,                0.61739,                0.57832,                0.46498,                0.23254,                 1.8447,                 2.8671,                 1.7389,             4.0777e-05,             4.0777e-05,             4.0777e-05
                     88,                0.59081,                0.70187,                0.92807,                0.60761,                0.58163,                0.46525,                  0.237,                 1.8408,                 2.8677,                 1.7241,             3.6208e-05,             3.6208e-05,             3.6208e-05
                     89,                0.59636,                0.70501,                0.93002,                0.61396,                0.58451,                0.46478,                0.23009,                 1.8298,                  2.839,                 1.7131,             3.1959e-05,             3.1959e-05,             3.1959e-05
                     90,                0.58193,                0.70252,                0.91724,                0.61854,                0.58346,                0.46731,                 0.2339,                 1.8261,                 2.8317,                 1.7094,             2.8035e-05,             2.8035e-05,             2.8035e-05
                     91,                0.57986,                0.71085,                0.92865,                0.63025,                0.58917,                0.47792,                0.23839,                 1.8267,                 2.8383,                 1.7085,             2.4438e-05,             2.4438e-05,             2.4438e-05
                     92,                0.58697,                0.70244,                0.91316,                0.63201,                0.58038,                0.46849,                0.23426,                 1.8131,                 2.8237,                  1.694,             2.1173e-05,             2.1173e-05,             2.1173e-05
                     93,                0.57334,                0.69999,                0.91544,                0.63438,                0.58866,                0.47043,                0.23767,                 1.8216,                 2.8382,                 1.7043,             1.8244e-05,             1.8244e-05,             1.8244e-05
                     94,                0.56859,                0.70173,                0.91881,                0.61481,                0.58606,                0.47795,                0.24281,                 1.8323,                 2.8486,                 1.7166,             1.5652e-05,             1.5652e-05,             1.5652e-05
                     95,                0.56932,                0.69119,                0.90859,                0.62601,                 0.5892,                0.47881,                0.24286,                  1.837,                 2.8611,                 1.7099,               1.34e-05,               1.34e-05,               1.34e-05
                     96,                0.60248,                0.73747,                0.92175,                0.62928,                0.59306,                0.47884,                0.24207,                 1.8424,                 2.8534,                  1.719,             1.1491e-05,             1.1491e-05,             1.1491e-05
                     97,                0.59907,                0.72863,                0.93929,                0.60241,                0.59012,                0.47649,                0.24275,                 1.8399,                 2.8418,                 1.7194,             9.9269e-06,             9.9269e-06,             9.9269e-06
                     98,                0.57977,                0.72304,                0.93114,                0.58809,                0.58943,                0.47748,                0.24293,                  1.846,                 2.8403,                 1.7313,             8.7085e-06,             8.7085e-06,             8.7085e-06
                     99,                0.58893,                0.70857,                0.93301,                0.61921,                0.59025,                0.47915,                0.23846,                 1.8542,                  2.845,                 1.7396,             7.8374e-06,             7.8374e-06,             7.8374e-06
                      0,                 2.1195,                 4.4727,                 2.0527,                0.00432,                0.57447,                0.01342,                 0.0063,                 1.7895,                 3.9857,                 1.6661,               0.000125,               0.000125,               0.000125
                      1,                 1.9005,                 3.8025,                 1.8444,                0.00639,                0.57447,                0.05597,                0.04036,                 1.5503,                 3.7436,                 1.4618,             0.00026244,             0.00026244,             0.00026244
                      2,                 1.8188,                 3.2012,                 1.7514,                 0.0069,                0.59574,                0.06159,                0.03057,                 1.8034,                 3.5561,                 1.6316,             0.00039961,             0.00039961,             0.00039961
                      3,                 1.7404,                 2.9184,                 1.6902,                 0.0108,                0.67021,                0.16621,                0.06241,                 1.7116,                 3.2363,                  1.568,             0.00053632,             0.00053632,             0.00053632
                      4,                 1.6485,                 2.6686,                 1.6415,                      1,                0.02511,                 0.1521,                0.07844,                 1.7269,                 3.4163,                 1.5903,             0.00067237,             0.00067237,             0.00067237
                      5,                 1.6101,                 2.4553,                 1.6112,                      1,                0.03007,                0.12525,                0.06275,                 1.7728,                 3.4573,                 1.5918,             0.00080755,             0.00080755,             0.00080755
                      6,                 1.6107,                 2.3955,                 1.5687,                      1,                0.01794,                0.62807,                0.22271,                 1.8019,                 3.3718,                 1.5305,             0.00094167,             0.00094167,             0.00094167
                      7,                 1.6331,                  2.294,                 1.5665,                0.16206,                0.50835,                0.16921,                0.09077,                 2.0012,                 3.3154,                 1.7787,              0.0010745,              0.0010745,              0.0010745
                      8,                 1.5743,                 2.2504,                 1.5438,                0.21357,                0.54255,                0.09778,                0.05761,                 1.8719,                  3.282,                 1.7291,              0.0012059,              0.0012059,              0.0012059
                      9,                 1.5811,                  2.241,                  1.565,                0.61115,                    0.5,                0.28451,                0.11785,                 1.9315,                 3.9481,                  1.795,              0.0012254,              0.0012254,              0.0012254
                     10,                 1.5456,                 2.1076,                 1.5497,                0.09089,                0.60638,                0.06049,                 0.0254,                 1.9529,                 3.4268,                 1.7551,              0.0012254,              0.0012254,              0.0012254
                     11,                 1.4979,                 2.0179,                 1.5062,                 0.1903,                0.10638,                0.10199,                0.04877,                  1.963,                 3.0619,                 1.9451,              0.0012197,              0.0012197,              0.0012197
                     12,                 1.4561,                 2.0069,                 1.4946,                0.09502,                0.06383,                0.07286,                0.03676,                 1.9107,                 3.1132,                 1.8392,              0.0012134,              0.0012134,              0.0012134
                     13,                 1.4682,                 1.9593,                 1.4831,                0.44715,                0.56383,                 0.2233,                0.09945,                 1.9101,                 2.8266,                 1.7046,              0.0012065,              0.0012065,              0.0012065
